Payment_ID,Student_ID,Month,Tuition_Fee,Transport_Fee,Total_Fee,Amount_Paid,Payment_Date,Payment_Mode
1,1,01-01-2022,2500,1600,4100,4100,04-01-2022,Cash
2,2,01-01-2022,2000,1600,3600,3600,03-01-2022,Bank Transfer
3,3,01-01-2022,4000,1600,5600,5600,03-01-2022,Card
4,4,01-01-2022,2500,1600,4100,4100,04-01-2022,UPI
5,5,01-01-2022,2000,1200,3200,3200,01-01-2022,Bank Transfer
6,6,01-01-2022,2500,1600,4100,4100,13-01-2022,Cash
7,7,01-01-2022,3200,0,3200,3200,04-01-2022,UPI
8,8,01-01-2022,1500,0,1500,1500,02-01-2022,Bank Transfer
9,9,01-01-2022,2500,1200,3700,3700,05-01-2022,Card
10,10,01-01-2022,4000,800,4800,4800,03-01-2022,Cash
11,11,01-01-2022,4000,800,4800,4800,03-01-2022,UPI
12,12,01-01-2022,2500,800,3300,3300,04-01-2022,UPI
13,13,01-01-2022,2000,1600,3600,3600,01-01-2022,UPI
14,14,01-01-2022,2000,1200,3200,3200,04-01-2022,Card
15,15,01-01-2022,2500,1600,4100,4100,28-01-2022,UPI
16,16,01-01-2022,2500,1600,4100,4100,16-01-2022,Cash
17,17,01-01-2022,1500,800,2300,2300,03-01-2022,UPI
18,18,01-01-2022,2000,1200,3200,3200,05-01-2022,Bank Transfer
19,19,01-01-2022,2000,1200,3200,3200,02-01-2022,UPI
20,20,01-01-2022,1500,1200,2700,2700,04-01-2022,Card
21,21,01-01-2022,2500,1200,3700,3700,05-01-2022,Card
22,22,01-01-2022,4000,0,4000,4000,16-01-2022,Bank Transfer
23,23,01-01-2022,2000,800,2800,2800,05-01-2022,Bank Transfer
24,24,01-01-2022,1500,0,1500,1500,04-01-2022,Bank Transfer
25,25,01-01-2022,4000,1200,5200,5200,05-01-2022,Cash
26,26,01-01-2022,2000,0,2000,2000,25-01-2022,Cash
27,27,01-01-2022,1500,1600,3100,3100,02-01-2022,Bank Transfer
28,28,01-01-2022,4000,0,4000,4000,03-01-2022,Bank Transfer
29,29,01-01-2022,3200,0,3200,3200,05-01-2022,Card
30,30,01-01-2022,2000,1600,3600,0,,UPI
31,31,01-01-2022,4000,1600,5600,5600,03-01-2022,Cash
32,32,01-01-2022,3200,1600,4800,4800,03-01-2022,Bank Transfer
33,33,01-01-2022,1500,1600,3100,2087.628143,10-01-2022,Card
34,34,01-01-2022,4000,800,4800,0,,Card
35,35,01-01-2022,4000,1200,5200,5200,05-01-2022,Cash
36,36,01-01-2022,3200,1600,4800,4800,04-01-2022,Card
37,37,01-01-2022,4000,1600,5600,5600,03-01-2022,UPI
38,38,01-01-2022,4000,0,4000,4000,04-01-2022,Bank Transfer
39,39,01-01-2022,1500,1600,3100,3100,02-01-2022,Cash
